customer_id,age,income,gender,city,signup_date,last_purchase_amount,churn
1,35.0,38396.0,Male,Delhi,2023-06-15,742.0,Yes
2,34.0,56068.375,Male,Chennai,2019-12-18,1922.0,No
3,41.0,9517.0,Female,Chennai,2020-10-07,1922.0,No
4,50.0,56068.375,M,Chennai,2020-12-23,1241.0,Yes
5,33.0,14907.0,Male,Chennai,2020-05-30,4867.0,No
6,33.0,16444.0,Unknown,Delhi,2018-12-07,1922.0,No
7,51.0,15438.0,Male,Bangalore,2022-06-28,2156.0,No
8,43.0,13116.0,Female,Bangalore,2018-07-04,1042.0,No
9,30.0,22677.0,M,Bangalore,2021-05-11,7715.75,No
10,40.0,13379.0,F,Delhi,2018-10-14,1518.0,No
11,30.0,25907.0,M,Mumbai,2018-06-03,273.0,No
12,30.0,21372.0,F,Chennai,2019-09-10,2880.0,Yes
13,37.0,19084.0,Male,Chennai,2020-11-16,363.0,No
14,16.0,12778.0,F,Chennai,2022-06-05,1270.0,No
15,18.0,15583.0,Male,Mumbai,2019-08-24,2124.0,Yes
16,29.0,34656.0,F,Delhi,2018-06-12,6220.0,No
17,25.0,29749.0,Female,Bangalore,2019-06-17,2041.0,No
18,38.0,12252.0,F,Chennai,2020-05-14,3635.0,Yes
19,26.0,23379.0,Female,Chennai,2019-05-26,7715.75,No
20,21.0,34573.0,Female,Chennai,2018-09-13,423.0,No
21,35.0,8090.0,Female,Bangalore,2021-08-27,1922.0,No
22,33.0,30516.0,M,Delhi,2020-12-11,1505.0,Yes
23,35.0,14801.0,Male,Mumbai,2020-01-04,1644.0,Yes
24,21.0,31019.0,Male,Bangalore,2021-10-14,1588.0,No
25,30.0,13933.0,Male,Chennai,2018-03-23,1922.0,No
26,36.0,7458.0,Male,Chennai,2019-05-25,3756.0,Yes
27,23.0,8296.0,F,Mumbai,2021-12-10,2809.0,No
28,39.0,22671.0,Male,Delhi,2018-10-19,1110.0,Yes
29,29.0,22416.5,Female,Mumbai,2018-07-27,5208.0,No
30,32.0,12803.0,Male,Mumbai,2023-01-27,7715.75,No
31,29.0,32311.0,Male,Chennai,2021-01-05,5164.0,No
32,54.0,8128.0,M,Chennai,2023-05-07,5.0,Yes
33,35.0,22416.5,Female,Delhi,2018-02-04,3035.0,No
34,24.0,22416.5,Female,Bangalore,2022-02-06,157.0,Yes
35,35.0,14897.0,Female,Chennai,2023-02-12,894.0,No
36,23.0,22416.5,M,Mumbai,2020-11-28,184.0,No
37,37.0,13144.0,Male,Mumbai,2021-11-11,2777.0,Yes
38,15.0,17488.0,Female,Delhi,2018-04-04,3481.0,Yes
39,22.0,22416.5,Female,Delhi,2018-05-28,365.0,No
40,37.0,15582.0,Female,Mumbai,2018-04-01,1922.0,No
41,35.0,36367.0,Male,Chennai,2021-03-15,1828.0,No
42,37.0,11183.0,Female,Bangalore,2019-01-18,1382.0,Yes
43,34.0,30269.0,Male,Chennai,2020-03-19,387.0,No
44,59.0,52310.0,Male,Chennai,2018-05-05,1629.0,No
45,20.0,4999.0,Male,Bangalore,2021-02-07,4173.0,No
46,28.0,22416.5,Female,Bangalore,2020-04-15,221.0,No
47,35.0,31140.0,F,Bangalore,2019-05-26,251.0,No
48,46.0,19500.0,M,Mumbai,2022-05-13,1314.0,No
49,38.0,27521.0,M,Chennai,2018-11-17,7715.75,No
50,17.0,15331.0,Female,Chennai,2021-09-22,3313.0,No
51,38.0,23201.0,Male,Chennai,2023-05-29,3406.0,No
52,31.0,20062.0,Female,Chennai,2021-07-02,1348.0,Yes
53,28.0,44386.0,Female,Delhi,2019-07-19,2702.0,No
54,41.0,25659.0,Male,Mumbai,2022-05-21,31.0,No
55,45.0,26972.0,F,Bangalore,2020-09-25,1922.0,No
56,44.0,17204.0,Female,Delhi,2020-12-29,1922.0,Yes
57,27.0,16439.0,Female,Delhi,2019-03-23,2845.0,Yes
58,32.0,16991.0,M,Delhi,2019-01-08,6207.0,No
59,38.0,27908.0,Female,Chennai,2019-08-22,3862.0,Yes
60,45.0,17110.0,F,Bangalore,2021-06-29,385.0,No
61,30.0,26209.0,Unknown,Delhi,2021-10-13,6982.0,Yes
62,33.0,56068.375,Female,Bangalore,2020-09-26,1922.0,Yes
63,24.0,37148.0,Male,Delhi,2018-07-18,1922.0,Yes
64,23.0,18113.0,Female,Delhi,2018-07-16,460.0,Yes
65,43.0,45285.0,Unknown,Delhi,2021-07-23,35.0,No
66,49.0,17243.0,Male,Mumbai,2020-09-18,1645.0,Yes
67,34.0,6484.0,Female,Chennai,2022-11-13,1049.0,No
68,45.0,12030.0,Female,Mumbai,2023-04-26,1997.0,No
69,39.0,7169.0,M,Chennai,2019-09-23,1922.0,No
70,29.0,17838.0,Male,Chennai,2018-03-18,134.0,No
71,39.0,22271.0,M,Chennai,2020-01-08,394.0,No
72,50.0,56068.375,Unknown,Chennai,2021-05-30,2454.0,No
73,35.0,26800.0,Male,Chennai,2020-11-08,1261.0,Yes
74,51.0,19313.0,Male,Delhi,2019-09-06,3919.0,No
75,11.0,22416.5,Female,Delhi,2018-12-13,3169.0,No
76,43.0,5845.0,Male,Chennai,2019-08-07,5605.0,No
77,36.0,25371.0,F,Mumbai,2021-04-25,3538.0,No
78,35.0,34980.0,Female,Delhi,2020-06-15,1686.0,No
79,36.0,9071.0,Male,Delhi,2020-02-02,3353.0,No
80,15.0,22416.5,F,Mumbai,2020-12-01,966.0,No
81,33.0,26987.0,Female,Mumbai,2022-05-16,1097.0,No
82,39.0,17168.0,Female,Mumbai,2019-09-09,4667.0,Yes
83,35.0,32198.0,Female,Bangalore,2020-12-01,1774.0,No
84,30.0,56068.375,Female,Mumbai,2020-07-19,4804.0,Yes
85,27.0,22416.5,Male,Mumbai,2020-01-22,1922.0,No
86,30.0,25564.0,Female,Delhi,2021-05-14,5847.0,No
